Task Name,Category,Action,Priority,Estimated Time (mins),Actual Time (mins),Completion Percentage,Due Date,Time Spent (mins),Status,Quality
Attend team meeting,Learning,Network with peers,High,45,58,0.85,2023-03-29 11:00:00,250,Over,Good
Code refactoring,Work,Learn new skills,High,64,93,0.86,2023-04-02 10:00:00,100,Over,Good
Code refactoring,Learning,Submit a functioning solution,Medium,221,243,0.6,2023-03-29 17:00:00,190,Over,Fair
Code refactoring,Work,Plan upcoming sprint,Medium,214,236,0.88,2023-03-28 10:00:00,220,Over,Good
Code review,Learning,Review code changes,High,110,91,1.0,2023-03-28 10:00:00,170,Under,Good
Attending conference,Work,Learn new programming language,High,35,20,0.87,2023-04-04 11:00:00,350,Under,Good
Code refactoring,Work,Discuss project progress,High,119,132,0.62,2023-04-04 11:00:00,130,Over,Fair
Code refactoring,Learning,Submit a functioning solution,High,43,25,0.97,2023-03-30 14:00:00,190,Under,Good
Complete coding challenge,Work,Network with peers,Medium,141,119,0.87,2023-03-29 11:00:00,130,Under,Good
Debugging,Work,Network with peers,High,130,113,0.64,2023-03-29 11:00:00,270,Under,Fair
Code review,Learning,Discuss project progress,Medium,81,88,0.73,2023-04-02 10:00:00,110,Over,Fair
Learning new technology,Learning,Submit a functioning solution,Low,35,20,0.77,2023-03-31 16:00:00,350,Under,Good
Learning new technology,Work,Learn new skills,Medium,46,33,0.86,2023-03-28 14:00:00,130,Under,Good
Writing technical documentation,Work,Learn new programming language,High,51,27,0.85,2023-03-31 16:00:00,250,Under,Good
Complete coding challenge,Learning,Write technical document,Medium,95,60,0.83,2023-03-30 15:00:00,100,Under,Good
Attending training session,Learning,Learn new skills,High,182,161,0.7,2023-03-30 15:00:00,80,Under,Fair
Pair programming,Learning,Learn new skills,Medium,197,208,0.83,2023-03-29 17:00:00,270,Over,Good
Pair programming,Work,Network with peers,Low,49,40,0.85,2023-04-05 18:00:00,170,Under,Good
Attending training session,Learning,Write technical document,Medium,101,81,0.92,2023-03-30 14:00:00,250,Under,Good
Complete coding challenge,Work,Write technical document,High,148,204,0.89,2023-03-31 16:00:00,270,Over,Good
Attending training session,Learning,Learn new skills,Medium,208,111,1.0,2023-04-01 12:00:00,130,Under,Good
Learning new technology,Work,Write technical document,Medium,209,312,0.96,2023-03-30 14:00:00,350,Over,Good
Attending training session,Learning,Learn new skills,Low,56,49,0.62,2023-04-05 18:00:00,100,Under,Fair
Sprint planning,Work,Network with peers,Medium,238,119,0.99,2023-04-02 10:00:00,100,Under,Good
Attending conference,Work,Refactor existing code,High,83,57,0.74,2023-03-30 14:00:00,350,Under,Fair
Code review,Learning,Discuss project progress,High,222,216,0.81,2023-04-04 11:00:00,80,Under,Good
Debugging,Learning,Refactor existing code,Medium,221,162,0.77,2023-03-28 10:00:00,130,Under,Good
Learning new technology,Learning,Write technical document,High,159,229,0.76,2023-03-29 17:00:00,250,Over,Good
Sprint planning,Work,Learn new programming language,Low,70,37,0.75,2023-03-29 11:00:00,320,Under,Good
Attending conference,Learning,Review code changes,Low,118,146,0.88,2023-03-30 14:00:00,100,Over,Good
Attending conference,Work,Refactor existing code,High,101,69,0.8,2023-04-04 11:00:00,250,Under,Good
Learning new technology,Learning,Submit a functioning solution,Low,126,138,0.96,2023-03-29 17:00:00,320,Over,Good
Complete coding challenge,Work,Write technical document,High,150,111,0.81,2023-04-01 12:00:00,320,Under,Good
Code review,Learning,Refactor existing code,High,143,170,0.83,2023-03-28 14:00:00,420,Over,Good
Debugging,Learning,Write technical document,Low,35,48,0.65,2023-03-31 16:00:00,110,Over,Fair
Attending training session,Work,Fix errors in code,Low,71,49,0.96,2023-03-30 14:00:00,270,Under,Good
Writing technical documentation,Work,Refactor existing code,High,113,168,0.73,2023-03-28 14:00:00,190,Over,Fair
Pair programming,Learning,Learn new programming language,Medium,117,131,0.84,2023-03-31 16:00:00,170,Over,Good
Pair programming,Work,Submit a functioning solution,Low,197,108,0.72,2023-03-31 16:00:00,250,Under,Fair
Code review,Learning,Code collaboratively,Medium,166,169,0.78,2023-03-31 16:00:00,220,Over,Good
Code review,Learning,Review code changes,Medium,178,140,0.73,2023-03-28 14:00:00,80,Under,Fair
Complete coding challenge,Work,Discuss project progress,Medium,91,76,0.72,2023-04-02 10:00:00,110,Under,Fair
Code review,Work,Learn new programming language,Medium,196,251,0.78,2023-03-28 10:00:00,270,Over,Good
Debugging,Learning,Fix errors in code,High,80,110,0.63,2023-03-30 15:00:00,350,Over,Fair
Attending conference,Learning,Review code changes,Medium,122,138,0.66,2023-04-05 18:00:00,190,Over,Fair
Code review,Work,Review code changes,Low,238,234,1.0,2023-03-29 11:00:00,100,Under,Good
Debugging,Learning,Write technical document,High,31,30,0.71,2023-03-29 11:00:00,270,Under,Fair
Code review,Work,Review code changes,High,87,44,0.75,2023-04-04 11:00:00,250,Under,Good
Complete coding challenge,Learning,Fix errors in code,High,212,191,0.74,2023-03-29 11:00:00,320,Under,Fair
Learning new technology,Learning,Fix errors in code,Low,216,140,0.79,2023-03-29 17:00:00,55,Under,Good
Pair programming,Work,Fix errors in code,Low,165,226,0.66,2023-04-02 10:00:00,350,Over,Fair
Sprint planning,Learning,Learn new programming language,Low,98,145,0.74,2023-03-30 14:00:00,320,Over,Fair
Writing technical documentation,Learning,Network with peers,Low,87,65,0.74,2023-03-29 11:00:00,350,Under,Fair
Learning new technology,Learning,Network with peers,High,32,26,0.62,2023-03-29 11:00:00,320,Under,Fair
Writing technical documentation,Work,Refactor existing code,Low,190,196,0.74,2023-04-05 18:00:00,210,Over,Fair
Sprint planning,Learning,Fix errors in code,High,60,31,0.93,2023-04-04 11:00:00,350,Under,Good
Attending training session,Learning,Network with peers,Medium,229,230,0.69,2023-04-01 12:00:00,190,Over,Fair
Sprint planning,Work,Write technical document,Low,119,102,0.9,2023-04-02 10:00:00,190,Under,Good
Sprint planning,Learning,Refactor existing code,Low,74,102,0.97,2023-04-02 10:00:00,190,Over,Good
Attending training session,Work,Learn new skills,High,199,287,0.93,2023-03-28 14:00:00,350,Over,Good
Pair programming,Work,Review code changes,Medium,152,120,0.87,2023-03-31 16:00:00,210,Under,Good
Code refactoring,Learning,Learn new skills,High,90,133,0.97,2023-04-02 10:00:00,420,Over,Good
Writing technical documentation,Work,Code collaboratively,Low,86,126,0.95,2023-03-29 17:00:00,80,Over,Good
Debugging,Learning,Write technical document,High,212,179,0.63,2023-04-01 12:00:00,250,Under,Fair
Writing technical documentation,Work,Submit a functioning solution,Medium,206,274,0.97,2023-04-05 18:00:00,220,Over,Good
Attending training session,Learning,Review code changes,Low,60,76,0.64,2023-04-05 18:00:00,420,Over,Fair
Learning new technology,Learning,Code collaboratively,High,179,91,0.8,2023-03-29 17:00:00,100,Under,Good
Pair programming,Learning,Network with peers,High,54,56,0.86,2023-03-28 10:00:00,320,Over,Good
Attend team meeting,Learning,Learn new programming language,Low,100,133,0.73,2023-04-02 10:00:00,55,Over,Fair
Code review,Work,Fix errors in code,Low,37,25,0.62,2023-03-30 15:00:00,110,Under,Fair
Code review,Learning,Review code changes,Medium,123,84,1.0,2023-03-29 17:00:00,110,Under,Good
Sprint planning,Learning,Network with peers,Medium,153,122,0.68,2023-03-30 14:00:00,80,Under,Fair
Sprint planning,Work,Learn new programming language,Medium,154,99,0.84,2023-03-30 15:00:00,250,Under,Good
Sprint planning,Work,Learn new skills,Low,227,208,0.91,2023-03-31 16:00:00,250,Under,Good
Learning new technology,Learning,Submit a functioning solution,Medium,105,58,0.89,2023-03-31 16:00:00,110,Under,Good
Sprint planning,Work,Network with peers,High,164,96,0.77,2023-04-01 12:00:00,210,Under,Good
Attending conference,Work,Code collaboratively,High,39,33,0.75,2023-04-04 11:00:00,170,Under,Good
Attending conference,Work,Learn new programming language,Medium,48,24,0.87,2023-03-31 16:00:00,55,Under,Good
Learning new technology,Learning,Learn new skills,Medium,216,250,0.66,2023-03-29 17:00:00,270,Over,Fair
Complete coding challenge,Learning,Submit a functioning solution,High,167,161,0.84,2023-04-02 10:00:00,270,Under,Good
Attending conference,Learning,Submit a functioning solution,Low,174,180,0.7,2023-03-29 17:00:00,210,Over,Fair
Sprint planning,Work,Write technical document,High,96,117,0.6,2023-04-01 12:00:00,220,Over,Fair
Pair programming,Learning,Refactor existing code,Low,60,47,0.71,2023-03-29 11:00:00,110,Under,Fair
Writing technical documentation,Work,Refactor existing code,High,235,137,0.88,2023-03-29 17:00:00,320,Under,Good
Sprint planning,Work,Plan upcoming sprint,Medium,105,145,0.88,2023-04-05 18:00:00,80,Over,Good
Attending training session,Learning,Plan upcoming sprint,High,135,69,0.81,2023-03-28 10:00:00,170,Under,Good
Learning new technology,Learning,Refactor existing code,Low,158,180,0.6,2023-04-02 10:00:00,170,Over,Fair
Debugging,Work,Discuss project progress,Medium,172,102,0.6,2023-04-01 12:00:00,420,Under,Fair
Learning new technology,Learning,Refactor existing code,Medium,170,103,0.83,2023-04-01 12:00:00,420,Under,Good
Attend team meeting,Learning,Review code changes,Low,205,191,0.75,2023-03-31 16:00:00,350,Under,Good
Complete coding challenge,Work,Learn new skills,Medium,57,56,0.9,2023-03-29 17:00:00,250,Under,Good
Code refactoring,Work,Discuss project progress,Medium,131,109,0.89,2023-04-05 18:00:00,320,Under,Good
Pair programming,Learning,Learn new programming language,Medium,158,163,1.0,2023-03-30 15:00:00,210,Over,Good
Sprint planning,Work,Learn new programming language,High,226,273,0.81,2023-03-29 17:00:00,270,Over,Good
Sprint planning,Work,Learn new skills,High,123,129,0.88,2023-03-28 10:00:00,210,Over,Good
Code review,Learning,Discuss project progress,Medium,131,114,0.6,2023-03-31 16:00:00,100,Under,Fair
Attending training session,Learning,Review code changes,High,211,140,0.9,2023-04-05 18:00:00,250,Under,Good
Writing technical documentation,Work,Learn new programming language,Low,166,181,0.68,2023-03-31 16:00:00,320,Over,Fair
Attending conference,Work,Review code changes,High,164,88,0.87,2023-04-01 12:00:00,55,Under,Good
Code review,Work,Learn new skills,High,198,135,0.93,2023-04-01 12:00:00,250,Under,Good
Complete coding challenge,Work,Learn new skills,Medium,51,45,0.88,2023-03-28 14:00:00,100,Under,Good
Attending conference,Learning,Learn new programming language,Low,171,146,0.72,2023-04-01 12:00:00,350,Under,Fair
Code review,Work,Fix errors in code,Low,160,184,0.82,2023-03-30 15:00:00,220,Over,Good
Sprint planning,Learning,Write technical document,Medium,205,143,0.68,2023-03-29 11:00:00,250,Under,Fair
Attending training session,Work,Network with peers,Low,136,178,0.62,2023-03-28 10:00:00,55,Over,Fair
Code review,Learning,Write technical document,Medium,166,123,0.89,2023-04-04 11:00:00,350,Under,Good
Complete coding challenge,Work,Fix errors in code,High,173,131,0.81,2023-04-01 12:00:00,210,Under,Good
Attend team meeting,Work,Review code changes,High,54,71,0.61,2023-03-30 14:00:00,190,Over,Fair
Attending conference,Work,Write technical document,Medium,236,252,0.95,2023-03-28 14:00:00,110,Over,Good
Attending training session,Learning,Learn new skills,High,137,153,0.66,2023-03-30 15:00:00,80,Over,Fair
Pair programming,Work,Discuss project progress,Medium,36,30,0.72,2023-03-31 16:00:00,320,Under,Fair
Writing technical documentation,Learning,Discuss project progress,High,41,58,0.81,2023-03-28 10:00:00,170,Over,Good
Writing technical documentation,Work,Write technical document,High,77,56,0.84,2023-03-29 17:00:00,350,Under,Good
Complete coding challenge,Work,Write technical document,Low,137,137,1.0,2023-03-29 11:00:00,170,Accurate,Excellent
Code refactoring,Learning,Review code changes,Low,66,56,0.86,2023-03-29 11:00:00,55,Under,Good
Debugging,Work,Code collaboratively,Low,235,179,0.7,2023-03-28 14:00:00,55,Under,Fair
Code review,Learning,Review code changes,Low,56,31,0.75,2023-03-29 11:00:00,210,Under,Good
Learning new technology,Work,Refactor existing code,High,164,231,0.89,2023-03-29 17:00:00,170,Over,Good
Attend team meeting,Work,Code collaboratively,Low,154,81,0.6,2023-03-29 17:00:00,130,Under,Fair
Writing technical documentation,Learning,Network with peers,High,164,151,0.87,2023-03-29 11:00:00,420,Under,Good
Pair programming,Work,Refactor existing code,Low,35,21,0.98,2023-04-05 18:00:00,100,Under,Good
Learning new technology,Work,Learn new skills,High,218,210,0.98,2023-04-05 18:00:00,210,Under,Good
Attending conference,Learning,Review code changes,High,58,60,0.78,2023-03-30 15:00:00,170,Over,Good
Code refactoring,Work,Code collaboratively,Medium,122,106,0.84,2023-03-30 14:00:00,110,Under,Good
Complete coding challenge,Work,Network with peers,Low,144,189,0.72,2023-03-30 14:00:00,420,Over,Fair
Pair programming,Learning,Learn new programming language,Low,189,155,0.8,2023-03-31 16:00:00,100,Under,Good
Attending conference,Work,Learn new skills,Low,170,106,0.73,2023-03-29 17:00:00,420,Under,Fair
Pair programming,Work,Discuss project progress,High,239,155,0.82,2023-03-28 14:00:00,420,Under,Good
Learning new technology,Work,Network with peers,High,205,274,0.87,2023-03-30 14:00:00,80,Over,Good
Writing technical documentation,Learning,Review code changes,Low,37,54,0.97,2023-03-30 14:00:00,250,Over,Good
Code refactoring,Work,Learn new skills,Medium,118,117,0.84,2023-03-31 16:00:00,130,Under,Good
Writing technical documentation,Work,Refactor existing code,High,80,51,0.78,2023-03-31 16:00:00,250,Under,Good
Sprint planning,Learning,Write technical document,High,78,50,0.96,2023-04-04 11:00:00,250,Under,Good
Code refactoring,Work,Write technical document,High,103,137,0.77,2023-03-31 16:00:00,55,Over,Good
Sprint planning,Work,Learn new skills,High,91,99,0.91,2023-03-28 10:00:00,55,Over,Good
Sprint planning,Learning,Learn new skills,Low,72,39,0.69,2023-04-01 12:00:00,130,Under,Fair
Complete coding challenge,Learning,Network with peers,Medium,184,117,0.91,2023-03-29 11:00:00,100,Under,Good
Attend team meeting,Work,Plan upcoming sprint,High,238,351,0.61,2023-03-30 15:00:00,350,Over,Fair
Debugging,Work,Discuss project progress,Low,87,52,0.69,2023-04-01 12:00:00,320,Under,Fair
Debugging,Learning,Discuss project progress,High,134,180,0.61,2023-03-29 11:00:00,250,Over,Fair
Writing technical documentation,Work,Submit a functioning solution,Low,44,42,0.71,2023-03-28 10:00:00,420,Under,Fair
Pair programming,Work,Refactor existing code,Low,228,252,0.7,2023-03-29 17:00:00,210,Over,Fair
Code review,Work,Fix errors in code,Low,223,280,0.75,2023-03-31 16:00:00,250,Over,Good
Learning new technology,Learning,Review code changes,Medium,203,227,0.82,2023-03-30 15:00:00,80,Over,Good
Attend team meeting,Work,Refactor existing code,High,131,181,0.88,2023-03-28 10:00:00,190,Over,Good
Complete coding challenge,Work,Learn new programming language,Medium,100,126,0.79,2023-03-30 15:00:00,220,Over,Good
Learning new technology,Learning,Write technical document,Low,200,129,0.73,2023-04-04 11:00:00,220,Under,Fair
Learning new technology,Learning,Discuss project progress,Low,230,326,0.64,2023-03-29 11:00:00,170,Over,Fair
Learning new technology,Learning,Submit a functioning solution,Medium,34,33,0.62,2023-04-02 10:00:00,100,Under,Fair
Debugging,Work,Discuss project progress,High,113,90,0.97,2023-03-29 11:00:00,220,Under,Good
Attending training session,Learning,Refactor existing code,Low,173,189,0.85,2023-03-29 17:00:00,190,Over,Good
Complete coding challenge,Work,Fix errors in code,Medium,70,79,0.77,2023-04-05 18:00:00,110,Over,Good
Pair programming,Learning,Plan upcoming sprint,High,113,89,0.66,2023-04-02 10:00:00,110,Under,Fair
Writing technical documentation,Work,Fix errors in code,High,107,91,0.73,2023-04-02 10:00:00,100,Under,Fair
Attending training session,Learning,Refactor existing code,Medium,112,160,0.73,2023-04-01 12:00:00,110,Over,Fair
Code review,Learning,Discuss project progress,High,228,163,0.9,2023-04-04 11:00:00,220,Under,Good
Attending training session,Learning,Refactor existing code,Medium,123,177,0.88,2023-03-30 14:00:00,320,Over,Good
Writing technical documentation,Learning,Learn new programming language,Low,80,112,0.74,2023-03-28 14:00:00,110,Over,Fair
Attend team meeting,Work,Submit a functioning solution,High,158,110,0.66,2023-03-29 11:00:00,250,Under,Fair
Pair programming,Work,Refactor existing code,Medium,130,187,0.94,2023-04-01 12:00:00,420,Over,Good
Attending conference,Learning,Discuss project progress,High,178,113,0.85,2023-04-05 18:00:00,80,Under,Good
Code review,Work,Discuss project progress,Medium,98,76,0.81,2023-03-28 14:00:00,130,Under,Good
Debugging,Learning,Code collaboratively,Medium,58,55,0.74,2023-03-28 14:00:00,110,Under,Fair
Sprint planning,Learning,Write technical document,Low,94,57,0.61,2023-03-30 15:00:00,130,Under,Fair
Sprint planning,Learning,Review code changes,Medium,32,26,0.89,2023-04-01 12:00:00,100,Under,Good
